element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Tally material,Weight (kg),Data Source (Material Quantities),Building Material_name,enhanced wastage,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,14,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Column foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",169198,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",0.05,A5: Construction,1823.2151719768963,-22.9515479619,0.0,0.0,4.63186797806832,0.318273928873152,102.48815280323362,1.8588906866851206e-07
Element_1,15,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Column foundation,Steel reinforcement,"Steel, reinforcing rod",12633,Calculated from takeoff from Revit,"Steel, reinforcing rod",0.015,A5: Construction,753.6598174800324,-3.865698,0.0,0.0,3.196379018834208,0.1002472191153288,40.62463290843084,-3.113788761600487e-06
Element_2,16,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Wall foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",0.05,A5: Construction,3335.9413194656645,-41.99450419710001,0.0,0.0,8.47494032072688,0.582346596581568,187.52282722686243,3.4012168971580805e-07
Element_3,17,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Wall foundation,Steel reinforcement,"Steel, reinforcing rod",23115,Calculated from takeoff from Revit,"Steel, reinforcing rod",0.015,A5: Construction,1378.995225287022,-7.07319,0.0,0.0,5.848515872742239,0.18342551015996397,74.3321768129802,-5.697397864671516e-06
Element_4,18,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Slab on grade,Concrete slab on grade,"Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",0.05,A5: Construction,5773.744591382881,-72.68279572575001,0.0,0.0,14.6681659397196,1.0079075710065604,324.55873943110805,5.886721552773602e-07
Element_5,19,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh",3601,Calculated from takeoff from Revit,"Steel, welded wire mesh",0.015,A5: Construction,290.1790373861028,-1.0821365099999998,0.0,0.0,0.888763918301376,0.03290891045841359,12.181736474127481,-1.2754043979941785e-06
Element_6,20,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Elevated slabs,Concrete slab,"Structural concrete, 5000 psi, 20% fly ash",6429780,Calculated from takeoff from Revit,"Normalweight concrete, 5000 psi",0.05,A5: Construction,162113.50306419912,-2175.080766894,0.0,0.0,408.43929866927044,28.36913870415744,8979.133158020592,1.413211819025e-05
Element_7,21,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Elevated slabs,Steel reinforcement,"Steel, reinforcing rod",43207,Calculated from takeoff from Revit,"Steel, reinforcing rod",0.015,A5: Construction,2577.6442439531197,-13.221342,0.0,0.0,10.932157703377632,0.3428624710136952,138.94312626253233,-1.064968503304617e-05
Element_8,22,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural columns,Concrete columns,"Structural concrete, 5000 psi, 20% fly ash",601223,Calculated from takeoff from Revit,"Normalweight concrete, 5000 psi",0.05,A5: Construction,15158.584998672894,-203.38309925290002,0.0,0.0,38.191524509988646,2.6526846453735042,839.6028129523273,1.3214378244202242e-06
Element_9,23,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural columns,Steel reinforcement,"Steel, reinforcing rod",20004,Calculated from takeoff from Revit,"Steel, reinforcing rod",0.015,A5: Construction,1193.3991125520913,-6.121224,0.0,0.0,5.061376228351105,0.1587386504538144,64.32796300959792,-4.930596880159594e-06
Element_10,24,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural walls,Concrete shear wall,"Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,"Normalweight concrete, 6000 psi",0.05,A5: Construction,11251.192859103097,-152.12694735739998,0.0,0.0,28.31378788298032,1.972086019256352,621.9230016139436,9.606639252427123e-07
