element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon_truck,Stored Biogenic Carbon_rail,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential
Element_0,14,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,460.72670896944,0.0,0.0,0.0,0.0,0.0,2.3526470245248,0.13723774309727998,75.48075870350401
Element_1,15,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,684.85290132681,0.0,0.0,0.0,0.0,0.0,4.2950831643972,0.25446019542552,140.547783156471
Element_2,16,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,842.99280142896,0.0,0.0,0.0,0.0,0.0,4.3046440924032,0.25110423872351995,138.107331297936
Element_3,17,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,1253.09703270555,0.0,0.0,0.0,0.0,0.0,7.858849627566,0.4655938745556,257.16472790800503
Element_4,18,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Slab on grade,Concrete slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,1459.0260024732002,0.0,0.0,0.0,0.0,0.0,7.450345544544,0.43460349009840005,239.03191955412
Element_5,19,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,176.09106265257,0.0,0.0,0.0,0.0,0.0,0.8991884050344001,0.05245265696034,28.848961328187002
Element_6,20,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Elevated slabs,Concrete slab,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",6429780,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,17508.3120296784,0.0,0.0,0.0,0.0,0.0,89.404146534528,5.2152418811808,2868.38303464944
Element_7,21,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Elevated slabs,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",43207,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,2342.31293498199,0.0,0.0,0.0,0.0,0.0,14.6899119990588,0.8702969733040801,480.69722685360904
Element_8,22,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural columns,Concrete columns,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",601223,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,1637.1322010114397,0.0,0.0,0.0,0.0,0.0,8.359824005164798,0.48765640030127994,268.211020165704
Element_9,23,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural columns,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",20004,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,1084.44529709028,0.0,0.0,0.0,0.0,0.0,6.8011433246736015,0.40293055879776,222.55345953154801
Element_10,24,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,2380.23979612344,0.0,0.0,0.0,0.0,0.0,12.1544159802048,0.7090075988452801,389.954179364904
Element_11,25,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,3538.2169168761898,0.0,0.0,0.0,0.0,0.0,22.1900730539628,1.31464051095048,726.1246072408289
Element_12,31,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,811.81605298575,0.0,0.0,0.0,0.0,0.0,5.0913377967899995,0.301633929114,166.60358210782502
Element_13,32,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Exterior finish,"4"" granite veneer","Stone slab, granite",624440,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,15374.0175204756,0.0,0.0,0.0,0.0,0.0,78.505621381152,4.5794945805672,2518.72201931196
Element_14,33,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Exterior finish,Type S mortar,Mortar type S,22658,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,442.16762628072,0.0,0.0,0.0,0.0,0.0,2.2578772405824004,0.13170950570064002,72.44022813535202
Element_15,34,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Support,Galvanized steel shelf angle with knife plate,Galvanized steel,12117,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,656.8798072806901,0.0,0.0,0.0,0.0,0.0,4.1196487535028,0.24406666571448,134.807052046779
Element_16,35,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Insulation,"4"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",9412,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,183.67383257808,0.0,0.0,0.0,0.0,0.0,0.9379089323136002,0.054711354384960005,30.091244911728
