element_index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (BEAM Material)
Element_0,Residential,21-01 10,Substructure,Foundations,Standard Foundations,STR4,Concrete footing,Continuous concrete footing,"Normalweight concrete, 3000 psi","Structural concrete, 3000 psi, 20% fly ash",20745,"Concrete - 2501-3000 psi, Standard mix / NRMCA [Industry Avg | US & CA]"
Element_1,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Slab on grade,Concrete slab,"Normalweight concrete, 3000 psi","Structural concrete, 3000 psi, 20% fly ash",38782,"Concrete - 0-2500 psi, Standard mix / NRMCA [Industry Avg | US & CA]"
Element_2,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Slab on grade,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",132,"Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #5"
Element_3,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Slab on grade,Reinforcing mesh,"Steel, welded wire mesh","Steel, welded wire mesh",226,"Welded wire reinforcement / Insteel Industries / 6"" x 6"" x 6/6g [US & CA]"
Element_4,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Slab on grade,Sub-slab insulation,"Expanded polystyrene (EPS), board","Expanded polystyrene (EPS), board",327,"EPS foam board / Type IX / R 4.2-inch, 25 psi / EPS Industry Alliance [Industry Avg | US & CA]"
Element_5,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Slab on grade,Aggregate base,Coarse aggregate,Coarse aggregate,28300,Aggregate / NRMCA / US Average [Industry Avg]
Element_6,Residential,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Floor framing,Wood I joist,Composite wood I-joist,"Composite wood I-joist, AWC - EPD",1223,"Wood I joist / TJI 230/360 / 11-7/8"" Depth / AWC & CWC [Industry Avg | US & CA]"
Element_7,Residential,21-02 10 11,Shell,Superstructure,Floor Construction,STR4,Sub-flooring,OSB sheathing,Oriented strandboard (OSB),"Oriented strandboard (OSB), AWC - EPD",1028,"OSB sheathing / 5/8"" / AWC & CWC [Industry Avg | US & CA]"
Element_8,Residential,21-02 30 10,Shell,Superstructure,Floor Construction,STR4,Roof framing,"Roof framing, wood",Composite wood I-joist,"Composite wood I-joist, AWC - EPD",1128,"Wood roof truss / Gable Roof, Double Howe, 2x6 Chords, 2x4 Webs, 4:12 Pitch / QWEB [Industry Avg | CA]"
Element_9,Residential,21-02 30 10,Shell,Superstructure,Floor Construction,STR4,Roof decking,Roof decking,Oriented strandboard (OSB),"Oriented strandboard (OSB), AWC - EPD",1145,"OSB sheathing / 5/8"" / AWC & CWC [Industry Avg | US & CA]"
Element_10,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Exterior finish,Brick,"Brick, generic",311593,"Brick, Clay, Generic Modular / 3-5/8"" x 2-3/4"" x 7-5/8"" incl. 3/8"" mortar / Brick Industry Association / [Industry Avg | US-Canada] MC: I REDUCED THIS SO IT DIDN'T LOOK SO CRAZY"
Element_11,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Exterior finish,Type N mortar,Mortar type N,5498.7,
Element_12,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Wall structure,Oriented strandboard (OSB),"Oriented strandboard (OSB), AWC - EPD",1849,"OSB sheathing / 5/8"" / AWC & CWC [Industry Avg | US & CA]"
Element_13,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Wall structure,Light wood framing,"Domestic softwood, US, AWC - EPD",3017,Wood / SPF / 2x6 Lumber / AWC & CWC [Industry Avg | US & CA]
Element_14,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Insulation,"Expanded polystyrene (EPS), board","Expanded polystyrene (EPS), board",129,"EPS foam board / Type II / R 4.0-inch, 15 psi / EPS Industry Alliance [Industry Avg | US & CA]"
Element_15,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Insulation,"Fiberglass blanket insulation, paper faced","Fiberglass blanket insulation, paper faced",236,Fiberglass batt / NAIMA / R 4.4-inch [Industry Avg | N.America]
Element_16,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",1540,"Drywall 1/2"" [BEAM Avg | US & CA]"
Element_17,Residential,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT3,Glazing: operable window,Glazing,Double pane IGU,"Glazing, double, insulated (air)",500,Window - double-glazed / Vinyl frame / BfCA Study [US & CA]
Element_18,Residential,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT3,Glazing: operable window,Glazing,"Window frame, vinyl, fixed","Window frame, vinyl, fixed",66,Window - double-glazed / Vinyl frame / BfCA Study [US & CA]
Element_19,Residential,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR2,Asphalt shingle roofing,Waterproofing system,SBS modified asphalt shingles,"SBS modified asphalt, strip, ARMA - EPD",1441,Asphalt Shingles / Asphalt Roofing Manufacturers Association / Fiberglass Asphalt Shingles [Industry Avg | US & CA]
Element_20,Residential,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR2,Asphalt shingle roofing,Waterproofing system,"Self-adhering, polymer-modified asphalt sheet underlayment","Self-adhering, polymer-modified asphalt sheet underlayment",26,Ceiling Sheet Barrier / [BEAM Avg]
Element_21,Residential,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR2,Asphalt shingle roofing,Insulation,"Fiberglass blanket insulation, paper faced","Fiberglass blanket insulation, paper faced",750,Fiberglass loose fill / NAIMA / R 2.2-inch [Industry Avg | N.America]
