element_index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Tally material,Weight (kg),Data Source (BEAM Material),Building Material_name,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,Residential,21-01 10,Substructure,Foundations,Standard Foundations,STR4,Concrete footing,Continuous concrete footing,"Structural concrete, 3000 psi, 20% fly ash",20745.0,"Concrete - 2501-3000 psi, Standard mix / NRMCA [Industry Avg | US & CA]","Normalweight concrete, 3000 psi",A5: Construction,192.40325323749005,-2.21353402725,0.0,0.0,0.4925813087808,0.03331800147888,10.985094730134001,2.2786062047280006e-08
Element_1,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Slab on grade,Concrete slab,"Structural concrete, 3000 psi, 20% fly ash",38782.0,"Concrete - 0-2500 psi, Standard mix / NRMCA [Industry Avg | US & CA]","Normalweight concrete, 3000 psi",A5: Construction,359.69067086316403,-4.1381189031000005,0.0,0.0,0.9208622953548802,0.062286755042368004,20.5362228886024,4.2597689000607996e-08
Element_2,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Slab on grade,Steel reinforcement,"Steel, reinforcing rod",132.0,"Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #5","Steel, reinforcing rod",A5: Construction,7.874859171009599,-0.040392,0.0,0.0,0.033398403426432,0.0010474655998751999,0.42447965993135994,-3.2535432322588804e-08
Element_3,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Slab on grade,Reinforcing mesh,"Steel, welded wire mesh",226.0,"Welded wire reinforcement / Insteel Industries / 6"" x 6"" x 6/6g [US & CA]","Steel, welded wire mesh",A5: Construction,18.2117363091528,-0.06791525999999998,0.0,0.0,0.055779129557375996,0.0020653745525135996,0.76452997588248,-8.00448192020784e-08
Element_4,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Slab on grade,Sub-slab insulation,"Expanded polystyrene (EPS), board",327.0,"EPS foam board / Type IX / R 4.2-inch, 25 psi / EPS Industry Alliance [Industry Avg | US & CA]","Expanded polystyrene (EPS), board",A5: Construction,176.06816840319297,0.4512599999999999,0.0,0.0,0.39289950142056,0.034619606332866,10.3064499830763,9.393771099549601e-08
Element_5,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Slab on grade,Aggregate base,Coarse aggregate,28300.0,Aggregate / NRMCA / US Average [Industry Avg],Coarse aggregate,A5: Construction,204.1305227874,-0.12735,0.0,0.0,0.571724573808,0.03212308763879997,13.257143201340002,1.436047818228e-07
Element_6,Residential,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Floor framing,Wood I joist,"Composite wood I-joist, AWC - EPD",1223.0,"Wood I joist / TJI 230/360 / 11-7/8"" Depth / AWC & CWC [Industry Avg | US & CA]",Composite wood I-joist,A5: Construction,125.57740582974401,-135.26380000000003,0.0,195.68,1.14491415742848,0.16768415918332802,10.615497550830401,9.90362224903368e-07
Element_7,Residential,21-02 10 11,Shell,Superstructure,Floor Construction,STR4,Sub-flooring,OSB sheathing,"Oriented strandboard (OSB), AWC - EPD",1028.0,"OSB sheathing / 5/8"" / AWC & CWC [Industry Avg | US & CA]",Oriented strandboard (OSB),A5: Construction,98.564443166784,-111.84640000000002,0.0,157.57184,0.9006844757452801,0.138069527751808,8.3164002634944,1.15527720033248e-07
Element_8,Residential,21-02 30 10,Shell,Superstructure,Floor Construction,STR4,Roof framing,"Roof framing, wood","Composite wood I-joist, AWC - EPD",1128.0,"Wood roof truss / Gable Roof, Double Howe, 2x6 Chords, 2x4 Webs, 4:12 Pitch / QWEB [Industry Avg | CA]",Composite wood I-joist,A5: Construction,115.822824019584,-124.75680000000003,0.0,180.48000000000002,1.0559796971212803,0.154658815665408,9.7909086159744,9.134330250948481e-07
Element_9,Residential,21-02 30 10,Shell,Superstructure,Floor Construction,STR4,Roof decking,Roof decking,"Oriented strandboard (OSB), AWC - EPD",1145.0,"OSB sheathing / 5/8"" / AWC & CWC [Industry Avg | US & CA]",Oriented strandboard (OSB),A5: Construction,109.78238076456,-124.57600000000002,0.0,175.50560000000002,1.0031942847552002,0.15378366661072002,9.262916635896,1.2867630295531999e-07
