element_index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (BEAM Material),Assembly,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,Residential,21-01 10,Substructure,Foundations,Standard Foundations,STR4,Continuous concrete footing,"Normalweight Concrete, 3000 psi","Structural concrete, 3000 psi, 20% fly ash",20745.0,"Concrete - 2501-3000 psi, Standard mix / NRMCA [Industry Avg | US & CA]",Concrete Footing,B2-B5: Replacement,,,,,,,,
Element_1,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Concrete slab,"Normalweight Concrete, 3000 psi","Structural concrete, 3000 psi, 20% fly ash",38782.0,"Concrete - 0-2500 psi, Standard mix / NRMCA [Industry Avg | US & CA]",Slab on grade,B2-B5: Replacement,,,,,,,,
Element_2,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",132.0,"Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #5",Slab on grade,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_3,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Reinforcing mesh,"Steel, welded wire mesh","Steel, welded wire mesh",226.0,"Welded wire reinforcement / Insteel Industries / 6"" x 6"" x 6/6g [US & CA]",Slab on grade,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_4,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Sub-slab insulation,"Expanded polystyrene (EPS), board","Expanded polystyrene (EPS), board",327.0,"EPS foam board / Type IX / R 4.2-inch, 25 psi / EPS Industry Alliance [Industry Avg | US & CA]",Slab on grade,B2-B5: Replacement,,,,,,,,
Element_5,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Barriers and membranes,AVB,AVB membrane,26.0,"Barrier, sheet / Polyethylene sheet / 10 mil",Slab on grade,B2-B5: Replacement,,,,,,,,
Element_6,Residential,21-01 40,Substructure,Slabs-on-grade,Slab-on-grade,STR4,Aggregate base,Coarse aggregate,Coarse aggregate,28300.0,Aggregate / NRMCA / US Average [Industry Avg],Slab on grade,B2-B5: Replacement,,,,,,,,
Element_7,Residential,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Wood I joist,Composite wood I-joist,"Composite wood I-joist, AWC - EPD",1223.0,"Wood I joist / TJI 230/360 / 11-7/8"" Depth / AWC & CWC [Industry Avg | US & CA]",Floor framing,B2-B5: Replacement,,,,,,,,
Element_8,Residential,21-02 10 11,Shell,Superstructure,Floor Construction,STR4,OSB sheathing,Oriented strandboard (OSB),"Oriented strandboard (OSB), AWC - EPD",1028.0,"OSB sheathing / 5/8"" / AWC & CWC [Industry Avg | US & CA]",Sub-flooring,B2-B5: Replacement,,,,,,,,
Element_9,Residential,21-02 30 10,Shell,Superstructure,Floor Construction,STR4,"Roof framing, wood",Composite wood I-joist,"Composite wood I-joist, AWC - EPD",1128.0,"Wood roof truss / Gable Roof, Double Howe, 2x6 Chords, 2x4 Webs, 4:12 Pitch / QWEB [Industry Avg | CA]",Roof framing,B2-B5: Replacement,,,,,,,,
Element_10,Residential,21-02 30 10,Shell,Superstructure,Floor Construction,STR4,Roof decking,Oriented strandboard (OSB),"Oriented strandboard (OSB), AWC - EPD",1145.0,"OSB sheathing / 5/8"" / AWC & CWC [Industry Avg | US & CA]",Roof decking,B2-B5: Replacement,,,,,,,,
Element_11,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Exterior finish,Brick,"Brick, generic",3115930.0,"Brick, Clay, Generic Modular / 3-5/8"" x 2-3/4"" x 7-5/8"" incl. 3/8"" mortar / Brick Industry Association / [Industry Avg | US-Canada]","Brick, wood framing",B2-B5: Replacement,,,,,,,,
Element_12,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Exterior finish,Type N Mortar,Mortar type N,5498.7,,"Brick, wood framing",B2-B5: Replacement,,,,,,,,
Element_13,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Sheet barrier,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",44.0,Sheet barrier Non-Permeable / [BEAM Avg],"Brick, wood framing",B2-B5: Replacement,,,,,,,,
Element_14,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Wall structure,Oriented strandboard (OSB),"Oriented strandboard (OSB), AWC - EPD",1849.0,"OSB sheathing / 5/8"" / AWC & CWC [Industry Avg | US & CA]","Brick, wood framing",B2-B5: Replacement,,,,,,,,
Element_15,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Wall structure,Light wood framing,"Domestic softwood, US, AWC - EPD",3017.0,Wood / SPF / 2x6 Lumber / AWC & CWC [Industry Avg | US & CA],"Brick, wood framing",B2-B5: Replacement,,,,,,,,
Element_16,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Insulation,"Expanded polystyrene (EPS), board","Expanded polystyrene (EPS), board",129.0,"EPS foam board / Type II / R 4.0-inch, 15 psi / EPS Industry Alliance [Industry Avg | US & CA]","Brick, wood framing",B2-B5: Replacement,,,,,,,,
Element_17,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Insulation,"Fiberglass blanket insulation, paper faced","Fiberglass blanket insulation, paper faced",236.0,Fiberglass batt / NAIMA / R 4.4-inch [Industry Avg | N.America],"Brick, wood framing",B2-B5: Replacement,,,,,,,,
