element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Tally material,Weight (kg),Data Source (Material Quantities),Building Material_name,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,54,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR5,Column foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",2334010,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,25362.28049432728,-316.60623919050005,0.0,0.0,64.9763171090376,4.453549538931361,1448.485216797248,3.844374049256162e-06
Element_1,55,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR5,Column foundation,Steel reinforcement,"Steel, reinforcing rod",261405,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,15850.56299952005,-79.98993,0.0,0.0,67.44570833052792,2.1504921956974616,882.4987052086041,-6.28864252132845e-05
Element_2,56,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR5,Wall foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",1905120,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,20701.79125854336,-258.427718136,0.0,0.0,53.036482813171204,3.6351799253683206,1182.3163380725762,3.1379445198259205e-06
Element_3,57,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR5,Wall foundation,Steel reinforcement,"Steel, reinforcing rod",213370,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,12937.911008617253,-65.29122,0.0,0.0,55.05208693974769,1.755324189651948,720.3333858585714,-5.1330604034961004e-05
Element_4,58,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR5,Slab on grade,Concrete Slab on grade,"Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,5822.37879146532,-72.68279572575001,0.0,0.0,14.9165107912044,1.0223943540098401,332.52647008291206,8.825468962010402e-07
Element_5,59,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR5,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh",3601,Calculated from takeoff from Revit,"Steel, welded wire mesh",A5: Construction,293.7008586391542,-1.0821365099999998,0.0,0.0,0.9067476864020639,0.03395796359762039,12.758715700691221,-1.2541236057416974e-06
Element_6,60,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Elevated slabs,Concrete slab,"Structural concrete, 5000 psi, 20% fly ash",8573040,Calculated from takeoff from Revit,"Normalweight concrete, 5000 psi",A5: Construction,217707.63182157022,-2900.107689192,0.0,0.0,552.532766806541,38.289095328314886,12227.144924885186,2.8246815963230004e-05
Element_7,61,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Elevated slabs,Steel reinforcement,"Steel, reinforcing rod",57610,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,3493.2420359302623,-17.62866,0.0,0.0,14.864089274963039,0.473938353872844,194.49035178006417,-1.3859287146524735e-05
Element_8,62,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Structural columns,Concrete columns,"Structural concrete, 5000 psi, 20% fly ash",710954,Calculated from takeoff from Revit,"Normalweight concrete, 5000 psi",A5: Construction,18054.285489636426,-240.5031543142,0.0,0.0,45.82101339690209,3.175278020404288,1013.9854232485585,2.3424814064001283e-06
Element_9,63,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Structural columns,Steel reinforcement,"Steel, reinforcing rod",53084,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,3218.8033368394726,-16.243704,0.0,0.0,13.696325552371777,0.4367044536883536,179.21065498859448,-1.2770463441869797e-05
Element_10,64,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Structural walls,Concrete shear wall,"Structural concrete, 6000 psi, 20% fly ash",1092652,Calculated from takeoff from Revit,"Normalweight concrete, 6000 psi",A5: Construction,14163.145048246655,-190.1583796376,0.0,0.0,35.898611357403524,2.494645511911872,793.6505717073296,1.800107255844832e-06
Element_11,65,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Structural walls,Steel reinforcement,"Steel, reinforcing rod",142771,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,8657.067500638768,-43.687926,0.0,0.0,36.836675748580944,1.1745296427838885,481.9923973961386,-3.4346542010006646e-05
Element_12,31,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Wall structure,Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette","6"" galvanized steel stud framing",A5: Construction,1145.002217612145,-8.99263725,0.0,0.0,4.4985560646684,0.20680696900148998,66.98472490081951,1.4237167878094441e-05
Element_13,32,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Exterior finish,"Stone slab, granite",624440,"Kaleidoscope Calculator, Payette","4"" granite veneer",A5: Construction,39173.67990409512,-18.73319999999989,0.0,0.0,381.71663027623043,14.88087507611344,6824.326083862394,1.8615858767030002e-05
Element_14,33,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Exterior finish,Mortar type S,22658,"Kaleidoscope Calculator, Payette",Type S mortar,A5: Construction,1037.044357884216,-14.614409999999992,0.0,0.0,2.53135402217472,0.17389744971019203,62.244572440605594,8.016998377247521e-07
Element_15,34,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Support,Galvanized steel,12117,"Kaleidoscope Calculator, Payette",Galvanized steel shelf angle with knife plate,A5: Construction,3260.928495421338,-60.82734000000001,0.0,0.0,17.279339268108963,0.752735027806356,263.22092314349584,7.123702003335992e-05
Element_16,35,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Insulation,"Mineral wool, low density, NAIMA - EPD",9412,"Kaleidoscope Calculator, Payette","4"" Mineral wool insulation",A5: Construction,1500.112526515616,-76.04896000000001,0.0,0.0,10.82596538646272,0.27476063087699204,63.553804982345596,3.6740539394945556e-05
Element_17,36,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,AVB,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",AVB membrane,A5: Construction,577.047684621592,2.1500799999999987,0.0,0.0,2.6891458172166405,0.14776819350430398,40.19589992736721,1.6800672104402403e-07
Element_18,37,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Wall structure,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",Sheathing,A5: Construction,2527.533594850572,-94.41432000000002,0.0,0.0,10.63205406625824,0.952885022615064,153.07933718828522,8.913005586762908e-05
Element_19,38,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Interior finish,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",Acrylic latex paint,A5: Construction,129.383750921288,2.5450000000000004,0.0,0.0,0.49876575151296,0.02617428133825598,9.820708236040801,2.9939562071336e-08
Element_20,39,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Interior finish,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",Gypsum wall board,A5: Construction,1506.9020619014875,-3.6772800000000094,0.0,0.0,2.86046723949696,0.17249142397065598,72.8295861838608,1.0842166401387357e-06
Element_21,0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing: double pane IGU,Glazing,"Glazing, double, insulated (air)",35343,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",Double pane IGU,A5: Construction,539.688063238632,-0.2827440000000008,0.0,0.0,4.11008490313344,0.178361216432784,55.6040129880312,3.038900359766041e-07
Element_22,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,,EPDM membrane,A5: Construction,5366.575795416108,-66.27348,0.0,0.0,14.96724928616736,1.513286485443096,211.5297274937028,3.84376780572876e-07
Element_23,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,,Polyisocyanurate board,A5: Construction,4509.04765311375,-162.1281,0.0,0.0,17.390259765899998,1.5611386009274997,209.42610301012502,0.0002053565984565075
