element_index,prebuilt_scenario,Revit model,Revit category,Revit type,Revit family name,Revit material name,Revit building element,Cumulative material volume (m3),Tally Entry Division,Tally Entry Category,Tally Entry Name,Material Group,Material Name,Life Cycle Stage,Service Life,Acidification Potential Total (kgSO2eq),Eutrophication Potential Total (kgNeq),Global Warming Potential Total (kgCO2eq),Ozone Depletion Potential Total (CFC-11eq),Smog Formation Potential Total (kgO3eq),Primary Energy Demand Total (MJ),Non-renewable Energy Demand Total (MJ),Renewable Energy Demand Total (MJ),Mass Total (kg)
Element_0,regional_mix,tm_2_dummy,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal,"Aluminum extrusion, mill-finished, Kawneer - EPD",[C2-C4] End of Life,60,0.022618654,0.00114202,4.878533254,8.98E-13,0.447938054,83.60031986,78.05653208,5.521612638,
Element_1,regional_mix,tm_2_dummy,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal Coating,"Powder coating, metal stock",[C2-C4] End of Life,60,0.016374162,0.000830808,3.549079458,6.54E-13,0.325063414,60.81831614,56.8659322,4.008846568,
Element_2,regional_mix,tm_2_dummy,Curtainwall Panels,Panel,System Panel: Glazed,Glass,Enclosure,23.79873641,08 - Openings and Glazing,Glass,"Glazing, double pane IGU",Glazing,"Glazing, double, insulated (air)",[C2-C4] End of Life,40,4.070333492,0.20652431,882.2397718,1.62E-10,80.80514272,15118.38154,14135.88725,996.529924,
Element_3,regional_mix,tm_2_dummy,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[C2-C4] End of Life,60,69.9803796,3.548731818,30821.95954,2.78E-09,1391.959463,259271.5704,242445.6868,17131.80878,
Element_4,regional_mix,tm_2_dummy,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.762995166,0.038650084,165.1071507,3.04E-11,15.13482215,2826.83455,2639.212788,186.3709504,
Element_5,regional_mix,tm_2_dummy,Floors,Floor,CLT,Wood - Stained,Superstructure,0,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Wood,CLT (Cross laminated timber),[C2-C4] End of Life,60,1914.525006,497.9482078,497948.2078,4.00E-09,6438.985446,272154.4516,255842.355,16183.31675,
Element_6,regional_mix,tm_2_dummy,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Roofing membrane,"PVC membrane, sheet",[C2-C4] End of Life,20,1.568121328,0.597916766,99.27674596,1.83E-11,13.15416884,1701.242419,1590.684225,112.1375971,
Element_7,regional_mix,tm_2_dummy,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Adhesive / Sealant,"Adhesive, polychloroprene (neoprene)",[C2-C4] End of Life,20,0.022779412,0.008707614,1.445145398,2.66E-13,0.19105312,24.7389297,23.14682036,1.628850322,
Element_8,regional_mix,tm_2_dummy,Floors,Floor,CLT Roof,Insulation - Roof,Superstructure,0,07 - Thermal and Moisture Protection,Insulation,"Polyisocyanurate (PIR), board",Insulation,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",[C2-C4] End of Life,60,4.23675526,1.615453446,268.2262324,4.94E-11,35.53997578,4596.422254,4297.715768,302.9737216,
Element_9,regional_mix,tm_2_dummy,Floors,Floor,CLT Roof,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[C2-C4] End of Life,60,17.4950949,0.887182954,7705.489886,6.96E-10,347.9898658,64817.89258,60611.42168,4282.952194,
Element_10,regional_mix,tm_2_dummy,Floors,Floor,CLT Roof,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.190748792,0.009662522,41.27678768,7.60E-12,3.783705538,706.7086374,659.803197,46.5927376,
Element_11,regional_mix,tm_2_dummy,Floors,Floor,CLT Roof,Wood - Stained,Superstructure,0,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Wood,CLT (Cross laminated timber),[C2-C4] End of Life,60,478.6312514,124.4870519,124487.0519,1.00E-09,1609.746361,68038.61286,63960.58876,4045.829188,
Element_12,regional_mix,tm_2_dummy,Floors,Floor,SOG Floor,"Concrete, Cast-in-Place gray",Substructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[C2-C4] End of Life,60,32.32260612,1.63909172,14236.07679,1.29E-09,642.919597,119752.6062,111981.0507,7912.856578,
Element_13,regional_mix,tm_2_dummy,Floors,Floor,SOG Floor,"Concrete, Cast-in-Place gray",Substructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.42207251,0.021380394,91.33372334,1.68E-11,8.372257972,1563.744051,1459.955729,103.0963998,
Element_14,regional_mix,tm_2_dummy,Floors,Floor,SOG Floor Insulation,Rigid insulation,Substructure,0,07 - Thermal and Moisture Protection,Insulation,"Expanded polystyrene (EPS), board",Insulation,"Expanded polystyrene (EPS), board",[C2-C4] End of Life,60,0.1114687,0.042502454,7.05701124,1.30E-12,0.93505399,120.9315108,113.0725665,7.97121497,
Element_15,regional_mix,tm_2_dummy,Structural Columns,FamilyInstance,Glulam-Western Species-Column: 18x18,"Softwood, Lumber",Superstructure,77.95539377,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[C2-C4] End of Life,60,185.6512536,48.28597628,48285.97628,3.88E-10,624.3876242,26390.78358,24809.0016,1569.294229,
Element_16,regional_mix,tm_2_dummy,Structural Foundations,FamilyInstance,Footing-Rectangular: 35' x 20' x 24,"Concrete, Cast-in-Place gray",Substructure,79.28717046,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[C2-C4] End of Life,60,16.08947504,0.815903434,7086.402668,6.40E-10,320.0310882,59610.18622,55741.67856,3938.844164,
